,Árvore de Decisão,Random Forest
embarked_Q,0.0,0.0023091072281381858
titulo_Outros,0.0,0.004177824161393782
embarked_C,0.0,0.006240283061880196
sozinho,0.0,0.006278605226557047
embarked_S,0.0,0.006641866469133936
titulo_Master,0.0,0.009093738846828474
parch,0.0,0.016525888307731832
sibsp,0.03756883838106954,0.02761294201648424
tam_familia,0.0005371186305237374,0.04128687572419057
tem_cabine,0.06349246376716348,0.0570133479684825
titulo_Mrs,0.0,0.06820926096766697
titulo_Miss,0.004151908299013726,0.06864243036948656
pclass,0.12809566033778474,0.07249758113659273
age,0.08653444440493624,0.07909735892513398
fare,0.08872128413932359,0.11836826782286836
sexo,0.5908982820401848,0.2027421338131348
titulo_Mr,0.0,0.21326248795429567
