,Regra,Classe,Cobertura (treino),Confiança (treino),Cobertura (teste),Confiança (teste),n (teste)
R1,SE mulher E classe ≤ 2 E tarifa > 31.7 E família ≤ 3,SOBREVIVEU,0.09497816593886463,1.0,0.09414758269720101,0.972972972972973,37
R2,SE mulher E classe ≥ 3 E 7.7 < tarifa ≤ 23.4 E idade ≤ 27.7,SOBREVIVEU,0.08733624454148471,0.6125,0.09669211195928754,0.5526315789473685,38
R3,SE homem E com cabine E idade > 17.8 E 26.1 < tarifa ≤ 31.7,SOBREVIVEU,0.027292576419213975,0.64,0.02544529262086514,0.3,10
R4,SE homem E sem cabine E idade ≤ 12.5 E sibsp ≤ 2,SOBREVIVEU,0.024017467248908297,0.6818181818181818,0.017811704834605598,0.8571428571428571,7
R5,SE mulher E classe ≤ 2 E tarifa ≤ 26.1 E sem cabine E título = Miss,SOBREVIVEU,0.02292576419213974,0.8571428571428571,0.027989821882951654,1.0,11
R6,SE mulher E classe ≤ 2 E tarifa ≤ 26.1 E sem cabine E título ≠ Miss,SOBREVIVEU,0.021834061135371178,0.65,0.035623409669211195,0.9285714285714286,14
R7,SE mulher E classe ≥ 3 E tarifa ≤ 7.7,SOBREVIVEU,0.019650655021834062,0.8888888888888888,0.020356234096692113,0.5,8
R8,SE mulher E classe ≤ 2 E 26.1 < tarifa ≤ 31.7,SOBREVIVEU,0.016375545851528384,0.9333333333333333,0.027989821882951654,0.9090909090909091,11
R9,SE mulher E classe ≤ 2 E tarifa > 31.7 E família ≥ 4,SOBREVIVEU,0.016375545851528384,0.9333333333333333,0.015267175572519083,0.8333333333333334,6
R10,SE mulher E classe ≤ 2 E tarifa ≤ 26.1 E com cabine,SOBREVIVEU,0.012008733624454149,1.0,0.005089058524173028,0.5,2
R11,SE homem E com cabine E idade ≤ 17.8,SOBREVIVEU,0.007641921397379912,1.0,0.007633587786259542,1.0,3
R12,SE homem E sem cabine E idade > 12.5 E classe ≥ 2 E tarifa ≤ 51.7,NÃO SOBREVIVEU,0.4421397379912664,0.8962962962962963,0.42748091603053434,0.875,168
R13,SE homem E com cabine E idade > 38.5 E tarifa > 31.7,NÃO SOBREVIVEU,0.04039301310043668,0.8648648648648649,0.03307888040712468,0.5384615384615384,13
R14,SE mulher E classe ≥ 3 E 7.7 < tarifa ≤ 23.4 E idade > 27.7,NÃO SOBREVIVEU,0.03275109170305677,0.6666666666666666,0.022900763358778626,0.6666666666666666,9
R15,SE homem E com cabine E 17.8 < idade ≤ 38.5 E tarifa > 31.7,NÃO SOBREVIVEU,0.03056768558951965,0.5714285714285714,0.017811704834605598,0.7142857142857143,7
R16,SE homem E sem cabine E 12.5 < idade ≤ 50.5 E classe ≤ 1,NÃO SOBREVIVEU,0.02947598253275109,0.6666666666666666,0.022900763358778626,0.8888888888888888,9
R17,SE mulher E classe ≥ 3 E tarifa > 23.4,NÃO SOBREVIVEU,0.021834061135371178,0.85,0.03307888040712468,1.0,13
R18,SE homem E sem cabine E idade ≤ 12.5 E sibsp ≥ 3,NÃO SOBREVIVEU,0.015283842794759825,1.0,0.017811704834605598,0.8571428571428571,7
R19,SE homem E sem cabine E idade > 12.5 E classe ≥ 2 E tarifa > 51.7,NÃO SOBREVIVEU,0.015283842794759825,0.7142857142857143,0.020356234096692113,0.75,8
R20,SE homem E com cabine E idade > 17.8 E tarifa ≤ 26.1,NÃO SOBREVIVEU,0.015283842794759825,0.6428571428571429,0.02544529262086514,0.9,10
R21,SE homem E sem cabine E idade > 50.5 E classe ≤ 1,NÃO SOBREVIVEU,0.006550218340611353,1.0,0.005089058524173028,1.0,2
